Year,Start Date,Start Weekday,Start Time,End Date,End Weekday,End Time
2024,2024-01-13,Saturday,11:35 PM,2024-01-17,Wednesday,03:33 AM
2024,2024-02-10,Saturday,10:02 AM,2024-02-14,Wednesday,10:43 AM
2024,2024-03-08,Friday,09:20 PM,2024-03-12,Tuesday,08:29 PM
2024,2024-04-05,Friday,07:12 AM,2024-04-09,Tuesday,07:32 AM
2024,2024-05-02,Thursday,02:32 PM,2024-05-06,Monday,05:43 PM
2024,2024-05-29,Wednesday,08:06 PM,2024-06-02,Sunday,01:40 AM
2024,2024-06-26,Wednesday,01:49 AM,2024-06-30,Sunday,07:34 AM
2024,2024-07-23,Tuesday,09:20 AM,2024-07-27,Saturday,01:00 PM
2024,2024-08-19,Monday,07:00 PM,2024-08-23,Friday,07:54 PM
2024,2024-09-16,Monday,05:44 AM,2024-09-20,Friday,05:15 AM
2024,2024-10-13,Sunday,03:44 PM,2024-10-17,Thursday,04:20 PM
2024,2024-11-09,Saturday,11:28 PM,2024-11-14,Thursday,03:11 AM
2024,2024-12-07,Saturday,05:07 AM,2024-12-11,Wednesday,11:48 AM

2025,2025-01-03,Friday,10:47 AM,2025-01-07,Tuesday,05:50 PM
2025,2025-01-30,Thursday,06:35 PM,2025-02-03,Monday,11:17 PM
2025,2025-02-26,Wednesday,08:37 PM,2025-03-02,Sunday,10:39 PM
2025,2025-03-26,Wednesday,03:14 PM,2025-03-30,Sunday,04:35 PM
2025,2025-04-22,Tuesday,12:31 AM,2025-04-26,Saturday,03:39 AM
2025,2025-05-20,Tuesday,07:35 AM,2025-05-24,Saturday,01:48 PM
2025,2025-06-16,Monday,01:10 PM,2025-06-20,Friday,09:45 PM
2025,2025-07-13,Sunday,06:53 PM,2025-07-17,Thursday,03:39 AM
2025,2025-08-09,Saturday,02:11 AM,2025-08-14,Thursday,09:06 AM
2025,2025-09-06,Saturday,11:21 AM,2025-09-10,Wednesday,04:03 PM
2025,2025-10-03,Friday,09:27 PM,2025-10-07,Tuesday,01:28 AM
2025,2025-10-31,Friday,06:48 AM,2025-11-04,Tuesday,12:34 PM
2025,2025-11-27,Thursday,02:07 PM,2025-12-01,Monday,11:18 PM
2025,2025-12-24,Wednesday,07:46 PM,2025-12-29,Monday,07:41 AM

2026,2026-01-21,Wednesday,01:32 AM,2026-01-25,Sunday,01:35 PM
2026,2026-02-17,Tuesday,09:01 AM,2026-02-21,Saturday,07:07 PM
2026,2026-03-16,Monday,06:09 PM,2026-03-21,Saturday,02:27 AM
2026,2026-04-13,Monday,03:38 AM,2026-04-17,Friday,12:02 PM
2026,2026-05-10,Sunday,12:07 PM,2026-05-14,Thursday,10:33 PM
2026,2026-06-06,Saturday,06:59 PM,2026-06-11,Thursday,08:16 AM
2026,2026-07-04,Saturday,12:45 AM,2026-07-08,Wednesday,04:00 PM
2026,2026-07-31,Friday,06:35 AM,2026-08-04,Tuesday,09:54 PM
2026,2026-08-27,Thursday,01:31 PM,2026-09-01,Tuesday,03:23 AM
2026,2026-09-23,Wednesday,09:52 PM,2026-09-28,Monday,10:16 AM
2026,2026-10-21,Wednesday,06:55 AM,2026-10-25,Sunday,07:22 PM
2026,2026-11-17,Tuesday,03:25 PM,2026-11-22,Sunday,05:54 AM
2026,2026-12-14,Monday,10:32 PM,2026-12-19,Saturday,03:57 PM

2027,2027-01-20,Wednesday,04:17 PM,2027-01-25,Monday,01:15 AM
2027,2027-02-16,Tuesday,11:50 PM,2027-02-21,Sunday,09:40 AM
2027,2027-03-15,Monday,06:30 AM,2027-03-20,Saturday,04:10 PM
2027,2027-04-12,Monday,12:45 PM,2027-04-17,Saturday,10:15 PM
2027,2027-05-09,Sunday,07:20 PM,2027-05-14,Friday,04:30 AM
2027,2027-06-05,Saturday,02:10 AM,2027-06-10,Thursday,11:20 AM
2027,2027-07-02,Friday,09:30 AM,2027-07-08,Thursday,06:50 PM
2027,2027-08-29,Sunday,05:15 PM,2027-08-31,Tuesday,02:10 AM
2027,2027-09-25,Saturday,01:40 AM,2027-09-30,Thursday,10:30 AM
2027,2027-10-22,Friday,09:50 AM,2027-10-27,Wednesday,06:45 PM
2027,2027-11-18,Thursday,05:25 PM,2027-11-23,Tuesday,02:15 AM
2027,2027-12-16,Thursday,12:10 AM,2027-12-21,Tuesday,09:30 AM

2028,2028-01-10,Monday,11:45 PM,2028-01-15,Saturday,08:10 AM
2028,2028-02-07,Monday,06:30 AM,2028-02-11,Friday,03:45 PM
2028,2028-03-05,Sunday,01:15 PM,2028-03-10,Friday,11:20 PM
2028,2028-04-01,Saturday,08:40 PM,2028-04-06,Thursday,07:30 AM
2028,2028-05-29,Monday,04:15 AM,2028-06-02,Friday,03:10 PM
2028,2028-06-25,Sunday,11:50 AM,2028-06-29,Thursday,10:45 PM
2028,2028-07-22,Saturday,07:30 PM,2028-07-27,Thursday,06:15 AM
2028,2028-08-19,Saturday,03:10 AM,2028-08-23,Wednesday,01:50 PM
2028,2028-09-15,Friday,10:45 AM,2028-09-19,Tuesday,09:30 PM
2028,2028-10-12,Thursday,06:20 PM,2028-10-17,Tuesday,05:10 AM
2028,2028-11-09,Thursday,01:50 AM,2028-11-13,Monday,12:45 PM
2028,2028-12-06,Wednesday,09:15 AM,2028-12-10,Sunday,08:20 PM

2029,2029-01-29,Monday,06:40 PM,2029-02-03,Saturday,03:20 AM
2029,2029-02-26,Monday,01:15 AM,2029-03-02,Friday,11:10 AM
2029,2029-03-25,Sunday,07:50 AM,2029-03-29,Thursday,05:45 PM
2029,2029-04-21,Saturday,02:30 PM,2029-04-26,Thursday,12:15 AM
2029,2029-05-18,Friday,09:10 PM,2029-05-23,Wednesday,07:30 AM
2029,2029-06-15,Friday,04:15 AM,2029-06-19,Tuesday,03:20 PM
2029,2029-07-12,Thursday,11:50 AM,2029-07-16,Monday,11:45 PM
2029,2029-08-08,Wednesday,07:20 PM,2029-08-13,Monday,08:10 AM
2029,2029-09-05,Wednesday,03:10 AM,2029-09-09,Sunday,04:30 PM
2029,2029-10-02,Tuesday,11:15 AM,2029-10-07,Sunday,01:10 AM
2029,2029-10-29,Monday,07:20 PM,2029-11-03,Saturday,09:40 AM
2029,2029-11-26,Monday,03:15 AM,2029-11-30,Friday,05:15 PM

2030,2030-01-12,Saturday,05:40 AM,2030-01-16,Wednesday,06:20 PM
2030,2030-02-08,Friday,02:15 PM,2030-02-13,Wednesday,01:10 AM
2030,2030-03-07,Thursday,10:30 PM,2030-03-12,Tuesday,09:45 AM
2030,2030-04-04,Thursday,05:10 AM,2030-04-08,Monday,04:20 PM
2030,2030-05-01,Wednesday,11:45 AM,2030-05-05,Sunday,10:30 PM
2030,2030-05-28,Tuesday,06:20 PM,2030-06-02,Sunday,05:15 AM
2030,2030-06-25,Tuesday,01:10 AM,2030-06-29,Saturday,12:20 PM
2030,2030-07-22,Monday,08:15 AM,2030-07-26,Friday,07:40 PM
2030,2030-08-18,Sunday,03:40 PM,2030-08-23,Friday,03:10 AM
2030,2030-09-14,Saturday,11:25 PM,2030-09-19,Thursday,10:50 AM
2030,2030-10-12,Saturday,07:10 AM,2030-10-16,Wednesday,06:30 PM
